Dst Port,Fwd Seg Size Min,Init Fwd Win Byts,Flow Pkts/s,Flow IAT Mean,Fwd IAT Max,Fwd Pkts/s,Fwd IAT Tot,Flow IAT Std,Bwd Seg Size Avg,Label
80,32,26883,1.3310142628,858636.285714286,1000372.0,0.6655071314,1005599.0,1865827.78746456,243.0,DoS attacks-GoldenEye
80,32,26883,1.3322138296,857863.142857143,1000840.0,0.6661069148,1001914.0,1865512.64833624,165.5,DoS attacks-GoldenEye
80,32,26883,1.3325251568,857662.714285714,996851.0,0.6662625784,1002012.0,1864593.94300365,243.0,DoS attacks-GoldenEye
80,32,26883,1.3336940976,856911.0,996219.0,0.6668470488,997230.0,1864725.7887265,243.0,DoS attacks-GoldenEye
80,32,26883,1.3333764458,857115.142857143,994975.0,0.6666882229,999389.0,1864179.95019861,243.0,DoS attacks-GoldenEye
80,32,26883,1.3332662256,857186.0,994981.0,0.6666331128,995469.0,1866117.13819069,243.0,DoS attacks-GoldenEye
80,32,26883,1.3332455613,857199.285714286,996041.0,0.6666227807,997124.0,1865504.91350623,243.0,DoS attacks-GoldenEye
80,32,26883,1.3335593716,856997.571428571,992939.0,0.6667796858,997856.0,1864381.72054847,243.0,DoS attacks-GoldenEye
80,32,26883,1.3334642351,857058.714285714,992477.0,0.6667321175,998561.0,1864182.59768097,243.0,DoS attacks-GoldenEye
80,32,26883,1.33486175,856161.428571429,992152.0,0.667430875,993060.0,1864284.60632972,243.0,DoS attacks-GoldenEye
80,32,26883,1.3332764469,857179.428571429,992268.0,0.6666382234,995393.0,1865895.04852898,165.5,DoS attacks-GoldenEye
80,32,26883,1.3340052273,856711.142857143,991949.0,0.6670026136,993117.0,1865666.02090008,243.0,DoS attacks-GoldenEye
80,32,26883,1.3338555378,856807.285714286,991883.0,0.6669277689,994020.0,1865506.22255584,243.0,DoS attacks-GoldenEye
80,32,26883,1.333924929,856762.714285714,991701.0,0.6669624645,993964.0,1865401.43450391,243.0,DoS attacks-GoldenEye
80,32,26883,1.3338706609,856797.571428572,989214.0,0.6669353304,992702.0,1865835.86956855,243.0,DoS attacks-GoldenEye
80,32,26883,1.3340058946,856710.714285714,989116.0,0.6670029473,992292.0,1865786.28366816,243.0,DoS attacks-GoldenEye
80,32,26883,1.3339260411,856762.0,988402.0,0.6669630206,993008.0,1865535.47199734,165.5,DoS attacks-GoldenEye
80,32,26883,1.3343759257,856473.142857143,987806.0,0.6671879629,990480.0,1865862.7170641,243.0,DoS attacks-GoldenEye
80,32,26883,1.3343258494,856505.285714286,987775.0,0.6671629247,991026.0,1865697.18887084,243.0,DoS attacks-GoldenEye
80,32,26883,1.3346132274,856320.857142857,987684.0,0.6673066137,989947.0,1865695.1459586,243.0,DoS attacks-GoldenEye
80,32,26883,1.3349397108,856111.428571429,981357.0,0.6674698554,989557.0,1864773.01369799,165.5,DoS attacks-GoldenEye
80,32,26883,1.3350932087,856013.0,981466.0,0.6675466043,989176.0,1864697.86342927,243.0,DoS attacks-GoldenEye
80,32,26883,1.3350250326,856056.714285714,981561.0,0.6675125163,989772.0,1864555.54467678,243.0,DoS attacks-GoldenEye
80,32,26883,1.3351861266,855953.428571429,981337.0,0.6675930633,990370.0,1863998.48085818,243.0,DoS attacks-GoldenEye
80,32,26883,1.336793847,854924.0,981419.0,0.6683969235,983418.0,1864440.10743905,243.0,DoS attacks-GoldenEye
80,32,26883,1.3361240511,855352.571428572,979989.0,0.6680620256,982623.0,1865783.35729749,243.0,DoS attacks-GoldenEye
80,32,26883,1.3315175872,858311.714285714,1002058.0,0.6657587936,1003462.0,1866093.85969809,243.0,DoS attacks-GoldenEye
80,32,26883,1.3360617942,855392.428571428,981302.0,0.6680308971,983127.0,1865774.36255324,165.5,DoS attacks-GoldenEye
80,32,26883,1.3361619883,855328.285714286,975963.0,0.6680809941,982962.0,1865215.91234766,243.0,DoS attacks-GoldenEye
80,32,26883,1.3357178122,855612.714285714,981230.0,0.6678589061,982552.0,1866597.73221609,165.5,DoS attacks-GoldenEye
80,32,26883,1.3347875844,856209.0,982377.0,0.6673937922,988632.0,1865528.67700499,243.0,DoS attacks-GoldenEye
80,32,26883,1.3341149023,856640.714285714,982481.0,0.6670574512,991977.0,1865165.447668,243.0,DoS attacks-GoldenEye
80,32,26883,1.3361657821,855325.857142857,982399.0,0.668082891,983570.0,1865498.94200983,165.5,DoS attacks-GoldenEye
80,32,26883,1.3359210123,855482.571428571,977452.0,0.6679605062,984034.0,1865248.99386497,165.5,DoS attacks-GoldenEye
80,32,26883,1.3357717847,855578.142857143,977179.0,0.6678858924,984857.0,1865126.22855366,243.0,DoS attacks-GoldenEye
80,32,26883,1.3346677787,856285.857142857,976348.0,0.6673338893,990576.0,1864335.2954842,243.0,DoS attacks-GoldenEye
80,32,26883,1.336174932,855320.0,976232.0,0.668087466,984084.0,1864717.74950161,243.0,DoS attacks-GoldenEye
80,32,26883,1.3360787525,855381.571428571,975770.0,0.6680393762,985105.0,1864380.42485807,165.5,DoS attacks-GoldenEye
80,32,26883,1.3376195121,854396.285714286,975838.0,0.6688097561,978513.0,1864776.31084416,243.0,DoS attacks-GoldenEye
80,32,26883,1.3374589484,854498.857142857,975225.0,0.6687294742,979599.0,1864501.91978568,243.0,DoS attacks-GoldenEye
80,32,26883,1.3379427692,854189.857142857,975263.0,0.6689713846,977718.0,1864546.92738651,243.0,DoS attacks-GoldenEye
80,32,26883,1.337553314,854438.571428572,975017.0,0.668776657,979773.0,1864251.59458918,243.0,DoS attacks-GoldenEye
80,32,26883,1.3369862025,854801.0,975327.0,0.6684931012,978746.0,1865678.67851675,165.5,DoS attacks-GoldenEye
80,32,26883,1.3372852341,854609.857142857,975400.0,0.668642617,977722.0,1865644.91021286,243.0,DoS attacks-GoldenEye
80,32,26883,1.3377326902,854324.0,974702.0,0.6688663451,976146.0,1865547.52428574,165.5,DoS attacks-GoldenEye
80,32,26883,1.3378232913,854266.142857143,974715.0,0.6689116456,976144.0,1865400.09988335,243.0,DoS attacks-GoldenEye
80,32,26883,1.3377760877,854296.285714286,974694.0,0.6688880439,976630.0,1865259.89297209,243.0,DoS attacks-GoldenEye
80,32,26883,1.3373809167,854548.714285714,974188.0,0.6686904583,978700.0,1864944.46444612,243.0,DoS attacks-GoldenEye
80,32,26883,1.3381244881,854073.857142857,974286.0,0.669062244,975643.0,1865088.40574153,243.0,DoS attacks-GoldenEye
80,32,26883,1.3375398963,854447.142857143,976031.0,0.6687699482,978492.0,1864932.11165201,243.0,DoS attacks-GoldenEye
80,32,26883,1.3380792775,854102.714285714,973584.0,0.6690396388,976409.0,1864753.46401472,243.0,DoS attacks-GoldenEye
80,32,26883,1.3382364085,854002.428571429,972593.0,0.6691182042,975952.0,1864615.18995304,243.0,DoS attacks-GoldenEye
80,32,26883,1.3384047721,853895.0,972732.0,0.669202386,975485.0,1864559.65070165,243.0,DoS attacks-GoldenEye
80,32,26883,1.3381746261,854041.857142857,972643.0,0.6690873131,976817.0,1864338.35276767,243.0,DoS attacks-GoldenEye
80,32,26883,1.3376501533,854376.714285714,972889.0,0.6688250767,979512.0,1864020.55747406,243.0,DoS attacks-GoldenEye
80,32,26883,1.338738938,853681.857142857,972489.0,0.669369469,974938.0,1864229.49353188,243.0,DoS attacks-GoldenEye
80,32,26883,1.3389986366,853516.285714286,971599.0,0.6694993183,974287.0,1864014.33260617,165.5,DoS attacks-GoldenEye
80,32,26883,1.3380224329,854139.0,971789.0,0.6690112165,974155.0,1865703.50715291,165.5,DoS attacks-GoldenEye
80,32,26883,1.337332403,854579.714285714,972271.0,0.6686662015,977552.0,1865366.87631832,243.0,DoS attacks-GoldenEye
80,32,26883,1.3379843901,854163.285714286,972201.0,0.668992195,974908.0,1865465.27783837,243.0,DoS attacks-GoldenEye
80,32,26883,1.3381721639,854043.428571429,972175.0,0.6690860819,974344.0,1865407.55033557,243.0,DoS attacks-GoldenEye
80,32,26883,1.3371911297,854670.0,972205.0,0.6685955649,979095.0,1864907.29392625,243.0,DoS attacks-GoldenEye
80,32,26883,1.338472622,853851.714285714,972495.0,0.669236311,973898.0,1865132.19141912,165.5,DoS attacks-GoldenEye
80,32,26883,1.3379049546,854214.0,972598.0,0.6689524773,976681.0,1864841.69836852,243.0,DoS attacks-GoldenEye
